"STU_ID","BYSEX","BYRACE","BYMOTHED","BYTXMSTD","F1TXMSTD"
101101,2,5,1,52.11,49.6
101102,2,2,5,57.65,60.64
101104,2,7,2,66.44,64.26
101105,2,3,2,44.68,45.59
101106,2,4,1,40.57,38.79
101107,1,4,2,35.04,32
101108,1,4,6,50.71,46.15
101109,1,7,2,66.17,-8
101110,1,4,2,39.43,-8
101111,1,3,1,46.17,42.77
101112,1,3,6,58.76,57.5
101113,2,4,4,47.97,45.9
101114,2,3,3,39.18,42.02
101115,1,2,2,64.63,48.53
101116,1,2,7,69.38,65.91
101117,1,3,2,32.38,32.69
101118,2,3,2,29.98,29.93
101119,2,4,1,59.32,-8
101120,1,7,2,43.04,-8
101121,2,2,6,57.83,54.81
101122,1,4,3,46.07,50.49
101123,1,4,1,47.74,56.41
101124,1,5,2,48.66,39.42
101125,2,5,2,40.8,40
101126,2,2,1,66.32,59.69
101127,2,2,3,53.7,58.62
101128,1,2,1,52.42,53.95
101129,1,7,4,71.38,64.62
101131,1,7,3,59.66,54.95
101132,1,4,2,47.52,-8
101133,1,4,2,39.51,41.41
101201,1,7,4,44.62,48.54
101203,1,7,6,49.89,52.67
101207,1,7,2,56.96,46.51
101209,1,3,2,46.9,44.84
101210,1,7,4,65.38,69.26
101211,2,7,2,56.31,56.48
101212,1,6,2,48.44,-8
101214,2,3,4,43.6,41.43
101215,1,3,2,54.11,40.11
101217,2,7,2,36.78,38.13
101219,2,7,4,33.52,34.84
101221,2,7,2,59.67,56.34
101222,-4,-4,-4,36.55,37.9
101223,2,3,2,47.85,43.23
101226,1,7,6,52.08,48.78
101227,1,7,2,44.46,-8
102101,1,3,2,47.55,43.4
102103,2,3,1,34.77,-8
102104,1,3,3,51.95,-8
102105,1,3,2,37.78,30.93
102106,2,4,6,35.8,39.45
102107,1,3,1,35.11,-8
102108,1,5,2,41.94,-8
102109,2,3,3,32.99,34.44
102111,2,4,1,39.63,43.3
102112,1,3,4,33.63,33.59
102113,1,3,5,50.54,-8
102116,1,5,1,29.87,-8
102117,1,4,3,47.1,45.7
102118,1,4,3,33.47,34.69
102120,2,3,4,33.11,-8
102121,1,3,2,31.78,34.05
102122,2,3,3,39.37,35.07
102162,-8,-8,-8,-8,41.61
102163,-8,-8,-8,-8,28.9
102164,-8,-8,-8,-8,30.05
102201,1,3,1,45.82,47.29
102202,2,3,4,21.54,32.16
102203,2,2,2,40.55,37.39
102204,2,2,2,64.98,64.38
102205,1,3,4,45.06,41.6
102206,1,3,2,37.05,30.1
102207,1,4,2,41.7,43.35
102208,1,2,5,54.75,61.33
102209,1,6,5,54.42,52.87
102210,1,4,2,23.09,-8
102211,2,3,3,43,36.8
102212,2,3,4,28.71,26.13
102213,1,4,6,53.06,48.04
102214,1,4,4,42.8,34.9
102215,1,7,6,61.52,64.32
102216,2,2,2,52.32,52.55
102217,2,2,2,44.74,47.44
102218,1,2,8,38,35.08
102219,1,2,1,59.9,56.01
102220,1,4,4,35.5,-8
102221,1,2,2,49.18,47.16
102222,2,3,5,36.71,35.24
102223,2,2,6,50.11,55.22
102224,1,2,4,55.63,55.73
102226,1,2,2,53.27,53.39
102227,1,3,6,31.63,39.12
102228,2,4,5,32.53,33.18
102232,2,2,2,59.07,62.12
102233,2,2,2,45.68,40.96
102234,2,4,4,39.85,43.22
102235,1,2,2,59.9,56.12
102261,-8,-8,-8,-8,52.13
103101,2,7,6,57.57,55.98
103102,1,4,2,42.4,36
103103,1,5,8,41.41,45.12
103104,2,7,6,55.22,53.01
103107,1,3,2,43.9,-8
103108,1,7,6,53.04,54.19
103109,2,7,6,49,59.59
103110,2,7,3,62.45,59.5
103111,2,3,4,53.78,51.97
103112,1,4,1,49.08,51.2
103114,1,3,2,40.25,41.49
103115,2,5,1,43.08,40.41
103116,2,3,3,52.43,45.09
103117,1,4,3,21.73,-8
103118,2,7,2,53.68,53.14
103119,1,4,2,41.45,39.66
103122,2,7,6,45.47,46.26
103124,2,3,2,34.06,30.28
103125,2,4,1,33.45,33.73
103126,-4,-4,-4,42,42.93
103127,1,7,3,60.78,63.64
103128,1,4,1,35.92,40.02
103129,1,7,3,52.4,56.64
103161,-8,-8,-8,-8,41.87
103162,-8,-8,-8,-8,43.91
103203,2,5,1,45.2,39.89
103204,2,7,2,41.66,37.67
103205,2,5,5,54.7,56.02
103210,2,2,2,40.81,37.04
103212,2,2,1,30.45,37.74
103213,2,-8,2,-8,32.5
103214,1,3,3,37.7,41.2
103215,1,3,5,54.41,52.22
103218,1,5,2,37.72,-8
103219,2,5,3,37.72,-8
103221,2,3,5,47.06,47.84
103223,1,5,5,38.43,40.15
103225,1,7,5,57,54.83
103226,2,5,1,43.88,44.34
103229,1,-8,2,-8,24.59
103230,-4,-4,-4,41.27,40.44
103231,1,5,7,47.7,49.59
103301,1,7,1,40.69,43.37
103302,1,2,1,43.22,-8
103303,1,2,6,45.57,-8
103304,2,7,4,46.73,42.46
103305,2,4,2,49.2,-8
103306,1,7,1,50.27,54.45
103307,1,2,5,42.79,38.59
103308,2,6,6,61.03,60.27
103309,2,2,1,53.03,51.41
103310,1,7,2,37.98,-8
103312,2,7,7,50.42,47.89
103313,2,7,2,54.19,-8
103314,2,2,1,55.95,57.55
103315,2,7,2,40.53,40.37
103316,2,7,1,55.59,49.94
103317,1,2,2,69.12,68.79
103318,2,7,7,54.18,50.95
103319,1,2,1,41.88,48.95
103320,2,4,2,47.14,-8
103321,2,7,4,42.86,34.5
103322,2,2,1,49.12,45.68
103323,1,7,1,52.04,50.02
103324,1,3,3,38.34,38.05
104101,2,7,5,55.41,58.27
104102,-4,-4,-4,51.08,48.79
104103,1,3,6,48.67,-8
104104,2,7,8,54.99,54.92
104105,1,2,6,56.86,56.95
104106,2,7,2,36.9,34.35
104107,1,7,3,58.04,54.81
104108,2,7,7,53.34,56.27
104109,1,5,1,29.12,32.89
104110,1,7,6,57.73,52.43
104111,1,6,6,61.26,61.45
104112,1,7,7,58.57,55.96
104113,-4,-4,-4,58.22,56.4
104115,1,3,5,45.95,47.75
104116,1,3,4,43.61,44.56
104117,2,2,4,66.34,62.37
104118,1,5,6,50.56,45.55
104119,1,7,2,48.58,51.84
104122,1,4,8,38.4,38.62
104123,2,3,5,40.73,45.94
104124,-4,-4,-4,63.91,59.54
104201,1,3,8,55.86,46.62
104202,1,7,3,56.39,60.99
104203,1,6,6,60.56,66.48
104204,2,7,6,63.13,62.56
104205,1,7,3,47.65,54.37
104206,1,7,5,55.13,55.68
104207,2,7,4,46.98,43.51
104208,1,7,6,62.4,58.96
104209,2,7,2,58.3,67.31
104211,2,7,6,55.22,57.21
104212,2,7,2,43.16,44.77
104213,1,7,2,64.07,64.28
104214,2,2,2,61.61,56.83
104215,1,7,2,44.37,27.72
104216,1,7,6,51.09,55.97
104217,2,7,2,48.3,-8
104218,2,6,1,51.2,-8
104220,2,7,6,54.99,56.38
104222,1,2,6,60.61,61.24
104223,1,7,8,69.29,71.7
104224,1,7,6,47.76,47.45
104225,1,7,5,59.27,-8
104228,2,7,5,59.15,-8
104231,2,7,3,56.9,59.22
105101,2,7,2,41.8,37.91
105102,2,7,2,64.71,62.23
105103,1,7,7,47.36,51.28
105104,1,7,2,53.25,53.02
105105,1,7,6,49.27,45.08
105106,2,7,2,52.65,52.87
105107,1,7,2,64.35,63.83
105108,1,6,3,31,-8
105109,1,7,2,60.66,-8
105110,1,7,2,44.85,44.58
105111,1,7,1,43.18,43.12
105112,1,7,7,61.61,58.18
105113,1,7,2,47.63,43.71
