"STU_ID","BYSEX","BYRACE","BYMOTHED","BYWRTNGA"
101101,2,5,1,1.191
101102,2,2,5,1.191
101104,2,7,2,0.996
101105,2,3,2,-0.137
101106,2,4,1,-0.435
101107,1,4,2,-0.63
101108,1,4,6,-0.246
101109,1,7,2,0.704
101110,1,4,2,-1.116
101111,1,3,1,-0.624
101112,1,3,6,1.567
101113,2,4,4,0.241
101114,2,3,3,0.436
101115,1,2,2,-0.514
101116,1,2,7,0.618
101117,1,3,2,-1.384
101118,2,3,2,-4
101119,2,4,1,-1.384
101120,1,7,2,1.001
101121,2,2,6,-0.898
101122,1,4,3,0.966
101123,1,4,1,-0.703
101124,1,5,2,-0.143
101125,2,5,2,0.436
101126,2,2,1,0.812
101127,2,2,3,0.618
101128,1,2,1,-0.709
101129,1,7,4,0.807
101131,1,7,3,0.052
101132,1,4,2,-0.898
101133,1,4,2,-1.384
101201,1,7,4,-4
101203,1,7,6,-4
101207,1,7,2,-4
101209,1,3,2,-4
101210,1,7,4,1.951
101211,2,7,2,-4
101212,1,6,2,-4
101214,2,3,4,-0.143
101215,1,3,2,-4
101217,2,7,2,-4
101219,2,7,4,-4
101221,2,7,2,-4
101222,-4,-4,-4,-4
101223,2,3,2,-4
101226,1,7,6,-4
101227,1,7,2,-4
102101,1,3,2,-4
102103,2,3,1,-0.137
102104,1,3,3,-4
102105,1,3,2,-9
102106,2,4,6,-9
102107,1,3,1,-9
102108,1,5,2,0.349
102109,2,3,3,-9
102111,2,4,1,-4
102112,1,3,4,-9
102113,1,3,5,-4
102116,1,5,1,-0.898
102117,1,4,3,-4
102118,1,4,3,-4
102120,2,3,4,-4
102121,1,3,2,-9
102122,2,3,3,0.812
102162,-8,-8,-8,-8
102163,-8,-8,-8,-8
102164,-8,-8,-8,-8
102201,1,3,1,-1.652
102202,2,3,4,-1.087
102203,2,2,2,-0.63
102204,2,2,2,1.001
102205,1,3,4,0.052
102206,1,3,2,-1.384
102207,1,4,2,-1.166
102208,1,2,5,0.052
102209,1,6,5,0.052
102210,1,4,2,-1.014
102211,2,3,3,-1.087
102212,2,3,4,-1.847
102213,1,4,6,-1.087
102214,1,4,4,-0.898
102215,1,7,6,1.001
102216,2,2,2,-0.137
102217,2,2,2,0.052
102218,1,2,8,-1.087
102219,1,2,1,-0.898
